Portfolio,Geography,Category,Brand,Segment,Sales,Margin,Trend,Contribution,Min_Trend,Max_Trend,Min_Contribution,Max_Contribution
Beauty,Asia,Hair,MAC,Hair Spray,356569,0.27,0.09,0.19,0.06999999999999999,0.11,0.14,0.24
Luxury,Asia,Body,MAC,Toner,478127,0.24,0.18,0.26,0.16,0.19999999999999998,0.21000000000000002,0.31
Beauty,Africa,Hair,Kaybeauty,Hair Spray,236141,0.46,0.08,0.26,0.06,0.1,0.21000000000000002,0.31
Personal Care,Africa,Fragrance,Kaybeauty,Mascara,129459,0.1,0.18,0.07,0.16,0.19999999999999998,0.020000000000000004,0.12000000000000001
Luxury,Asia,Makeup,Kaybeauty,Body Lotion,55486,0.13,-0.03,0.2,-0.05,-0.009999999999999998,0.15000000000000002,0.25
Luxury,Africa,Makeup,MAC,Toner,247775,0.42,-0.03,0.17,-0.05,-0.009999999999999998,0.12000000000000001,0.22000000000000003
Luxury,South America,Skincare,Kaybeauty,Toner,124460,0.24,-0.02,0.09,-0.04,0.0,0.039999999999999994,0.14
Personal Care,South America,Makeup,MAC,Perfume,51542,0.27,0.01,0.15,-0.01,0.03,0.09999999999999999,0.2
Luxury,South America,Body,MAC,Conditioner,366837,0.49,0.04,0.14,0.02,0.06,0.09000000000000001,0.19
Beauty,North America,Skincare,L'Oreal,Foundation,253196,0.25,0.13,0.11,0.11,0.15,0.06,0.16
Luxury,Europe,Skincare,MAC,Lipstick,190507,0.33,0.14,0.24,0.12000000000000001,0.16,0.19,0.29
Luxury,North America,Hair,Kaybeauty,Hair Spray,280907,0.21,0.17,0.11,0.15000000000000002,0.19,0.06,0.16
Personal Care,South America,Makeup,MAC,Conditioner,332703,0.31,0.2,0.07,0.18000000000000002,0.22,0.020000000000000004,0.12000000000000001
Luxury,Europe,Makeup,MAC,Lipstick,383870,0.35,0.12,0.16,0.09999999999999999,0.13999999999999999,0.11,0.21000000000000002
Beauty,Europe,Hair,Kaybeauty,Body Lotion,454191,0.12,0.05,0.08,0.030000000000000002,0.07,0.03,0.13
Beauty,South America,Makeup,L'Oreal,Bronzer,396809,0.19,0.02,0.14,0.0,0.04,0.09000000000000001,0.19
Luxury,North America,Hair,MAC,Conditioner,369187,0.34,0.02,0.08,0.0,0.04,0.03,0.13
Luxury,Africa,Body,Kaybeauty,Conditioner,100990,0.47,-0.03,0.27,-0.05,-0.009999999999999998,0.22000000000000003,0.32
Luxury,Africa,Skincare,Kaybeauty,Bronzer,111813,0.42,0.2,0.09,0.18000000000000002,0.22,0.039999999999999994,0.14
Beauty,South America,Hair,L'Oreal,Mascara,358684,0.13,-0.04,0.08,-0.06,-0.02,0.03,0.13
Beauty,Asia,Hair,MAC,Conditioner,285365,0.47,0.1,0.23,0.08,0.12000000000000001,0.18,0.28
Personal Care,South America,Fragrance,MAC,Conditioner,499613,0.18,0.01,0.12,-0.01,0.03,0.06999999999999999,0.16999999999999998
Personal Care,North America,Hair,L'Oreal,Bronzer,436598,0.37,0.08,0.24,0.06,0.1,0.19,0.29
Luxury,South America,Makeup,MAC,Perfume,386107,0.32,0.17,0.15,0.15000000000000002,0.19,0.09999999999999999,0.2
Luxury,Africa,Skincare,L'Oreal,Lipstick,365826,0.46,0.1,0.3,0.08,0.12000000000000001,0.25,0.35
Personal Care,South America,Body,L'Oreal,Foundation,387889,0.24,0.08,0.25,0.06,0.1,0.2,0.3
Personal Care,South America,Fragrance,MAC,Conditioner,415340,0.16,0.18,0.17,0.16,0.19999999999999998,0.12000000000000001,0.22000000000000003
Beauty,South America,Skincare,L'Oreal,Foundation,187326,0.15,-0.02,0.09,-0.04,0.0,0.039999999999999994,0.14
Personal Care,Asia,Makeup,MAC,Foundation,264879,0.29,0.12,0.09,0.09999999999999999,0.13999999999999999,0.039999999999999994,0.14
Personal Care,Europe,Fragrance,MAC,Conditioner,161195,0.24,-0.04,0.19,-0.06,-0.02,0.14,0.24
Beauty,North America,Makeup,L'Oreal,Lipstick,420608,0.3,0.12,0.06,0.09999999999999999,0.13999999999999999,0.009999999999999995,0.11
Beauty,North America,Fragrance,Kaybeauty,Mascara,145257,0.45,-0.03,0.2,-0.05,-0.009999999999999998,0.15000000000000002,0.25
Luxury,South America,Makeup,Kaybeauty,Bronzer,295121,0.4,-0.04,0.11,-0.06,-0.02,0.06,0.16
Luxury,Europe,Fragrance,Kaybeauty,Lipstick,155977,0.24,0.05,0.08,0.030000000000000002,0.07,0.03,0.13
Luxury,Africa,Makeup,L'Oreal,Toner,297736,0.44,-0.03,0.18,-0.05,-0.009999999999999998,0.13,0.22999999999999998
Beauty,North America,Skincare,MAC,Shampoo,57561,0.42,0.07,0.07,0.05,0.09000000000000001,0.020000000000000004,0.12000000000000001
Luxury,South America,Hair,Kaybeauty,Body Lotion,412920,0.23,0.17,0.2,0.15000000000000002,0.19,0.15000000000000002,0.25
Luxury,Europe,Skincare,L'Oreal,Conditioner,471240,0.19,-0.02,0.09,-0.04,0.0,0.039999999999999994,0.14
Luxury,Asia,Fragrance,L'Oreal,Bronzer,208518,0.44,-0.04,0.05,-0.06,-0.02,0.0,0.1
Beauty,Asia,Body,Kaybeauty,Shampoo,268958,0.43,0.01,0.09,-0.01,0.03,0.039999999999999994,0.14
Luxury,North America,Body,Kaybeauty,Bronzer,294761,0.21,0.14,0.1,0.12000000000000001,0.16,0.05,0.15000000000000002
Personal Care,Asia,Fragrance,MAC,Shampoo,480192,0.31,0.13,0.24,0.11,0.15,0.19,0.29
Personal Care,Africa,Fragrance,Kaybeauty,Shampoo,417436,0.31,-0.04,0.13,-0.06,-0.02,0.08,0.18
Personal Care,Africa,Body,L'Oreal,Bronzer,307665,0.14,-0.02,0.05,-0.04,0.0,0.0,0.1
Beauty,Europe,Fragrance,L'Oreal,Mascara,133524,0.43,0.19,0.08,0.17,0.21,0.03,0.13
Luxury,North America,Body,Kaybeauty,Foundation,298320,0.4,0.09,0.26,0.06999999999999999,0.11,0.21000000000000002,0.31
Luxury,North America,Skincare,L'Oreal,Foundation,398884,0.17,0.01,0.21,-0.01,0.03,0.15999999999999998,0.26
Personal Care,Asia,Hair,MAC,Body Lotion,355447,0.28,0.13,0.27,0.11,0.15,0.22000000000000003,0.32
Beauty,North America,Hair,MAC,Mascara,215088,0.26,0.08,0.07,0.06,0.1,0.020000000000000004,0.12000000000000001
Luxury,Europe,Fragrance,Kaybeauty,Foundation,336663,0.38,-0.01,0.27,-0.03,0.01,0.22000000000000003,0.32
Beauty,Asia,Fragrance,MAC,Perfume,409864,0.22,0.01,0.24,-0.01,0.03,0.19,0.29
Personal Care,Asia,Body,L'Oreal,Conditioner,293322,0.4,-0.02,0.18,-0.04,0.0,0.13,0.22999999999999998
Luxury,Asia,Skincare,Kaybeauty,Bronzer,114772,0.29,0.05,0.24,0.030000000000000002,0.07,0.19,0.29
Luxury,Europe,Fragrance,L'Oreal,Conditioner,121315,0.17,0.18,0.2,0.16,0.19999999999999998,0.15000000000000002,0.25
Luxury,South America,Fragrance,L'Oreal,Bronzer,175885,0.14,0.01,0.23,-0.01,0.03,0.18,0.28
Luxury,Asia,Makeup,MAC,Bronzer,365172,0.38,-0.01,0.19,-0.03,0.01,0.14,0.24
Personal Care,North America,Fragrance,MAC,Bronzer,184869,0.46,-0.02,0.11,-0.04,0.0,0.06,0.16
Personal Care,Asia,Hair,MAC,Perfume,218502,0.19,0.1,0.14,0.08,0.12000000000000001,0.09000000000000001,0.19
Beauty,North America,Body,MAC,Conditioner,410089,0.23,0.05,0.18,0.030000000000000002,0.07,0.13,0.22999999999999998
Luxury,South America,Body,Kaybeauty,Lipstick,348512,0.33,-0.04,0.28,-0.06,-0.02,0.23000000000000004,0.33
Personal Care,North America,Makeup,L'Oreal,Conditioner,268967,0.22,0.15,0.12,0.13,0.16999999999999998,0.06999999999999999,0.16999999999999998
Personal Care,Asia,Body,MAC,Mascara,296726,0.49,0.06,0.19,0.039999999999999994,0.08,0.14,0.24
Personal Care,Asia,Skincare,MAC,Toner,256592,0.22,0.05,0.16,0.030000000000000002,0.07,0.11,0.21000000000000002
Luxury,Africa,Hair,MAC,Bronzer,270178,0.13,0.14,0.16,0.12000000000000001,0.16,0.11,0.21000000000000002
Personal Care,Asia,Hair,L'Oreal,Perfume,468738,0.16,-0.0,0.27,-0.02,0.02,0.22000000000000003,0.32
Luxury,Europe,Body,L'Oreal,Foundation,387773,0.31,0.15,0.29,0.13,0.16999999999999998,0.24,0.33999999999999997
Personal Care,Africa,Hair,MAC,Toner,498322,0.19,0.12,0.05,0.09999999999999999,0.13999999999999999,0.0,0.1
Personal Care,North America,Skincare,Kaybeauty,Foundation,205232,0.32,0.13,0.25,0.11,0.15,0.2,0.3
Personal Care,Europe,Makeup,MAC,Perfume,171300,0.26,0.03,0.07,0.009999999999999998,0.05,0.020000000000000004,0.12000000000000001
Personal Care,North America,Skincare,Kaybeauty,Foundation,194931,0.36,0.13,0.28,0.11,0.15,0.23000000000000004,0.33
Beauty,Asia,Fragrance,L'Oreal,Lipstick,144914,0.34,0.02,0.21,0.0,0.04,0.15999999999999998,0.26
Personal Care,North America,Body,MAC,Foundation,432451,0.49,0.14,0.08,0.12000000000000001,0.16,0.03,0.13
Personal Care,Europe,Hair,L'Oreal,Foundation,77856,0.21,0.09,0.21,0.06999999999999999,0.11,0.15999999999999998,0.26
Luxury,North America,Fragrance,L'Oreal,Shampoo,368105,0.31,-0.01,0.12,-0.03,0.01,0.06999999999999999,0.16999999999999998
Luxury,South America,Skincare,L'Oreal,Shampoo,238456,0.21,0.09,0.21,0.06999999999999999,0.11,0.15999999999999998,0.26
Personal Care,Asia,Skincare,L'Oreal,Perfume,242468,0.21,0.02,0.23,0.0,0.04,0.18,0.28
Personal Care,Asia,Skincare,MAC,Conditioner,386326,0.33,0.16,0.15,0.14,0.18,0.09999999999999999,0.2
Personal Care,South America,Body,L'Oreal,Mascara,200322,0.14,0.14,0.07,0.12000000000000001,0.16,0.020000000000000004,0.12000000000000001
Luxury,Europe,Makeup,MAC,Toner,278071,0.33,0.07,0.22,0.05,0.09000000000000001,0.16999999999999998,0.27
Personal Care,Africa,Hair,L'Oreal,Shampoo,255550,0.2,0.1,0.06,0.08,0.12000000000000001,0.009999999999999995,0.11
Personal Care,Europe,Skincare,Kaybeauty,Lipstick,228376,0.41,-0.02,0.07,-0.04,0.0,0.020000000000000004,0.12000000000000001
Beauty,North America,Hair,MAC,Bronzer,105337,0.28,-0.03,0.07,-0.05,-0.009999999999999998,0.020000000000000004,0.12000000000000001
Luxury,South America,Makeup,Kaybeauty,Conditioner,175995,0.42,0.19,0.25,0.17,0.21,0.2,0.3
Beauty,North America,Makeup,L'Oreal,Bronzer,443554,0.39,0.15,0.21,0.13,0.16999999999999998,0.15999999999999998,0.26
Personal Care,North America,Body,MAC,Body Lotion,402744,0.48,-0.04,0.23,-0.06,-0.02,0.18,0.28
Luxury,North America,Body,MAC,Perfume,406601,0.23,-0.02,0.23,-0.04,0.0,0.18,0.28
Luxury,South America,Fragrance,Kaybeauty,Lipstick,348206,0.44,0.16,0.13,0.14,0.18,0.08,0.18
Personal Care,North America,Fragrance,MAC,Lipstick,184055,0.28,0.05,0.19,0.030000000000000002,0.07,0.14,0.24
Beauty,Asia,Skincare,L'Oreal,Hair Spray,319708,0.35,0.17,0.2,0.15000000000000002,0.19,0.15000000000000002,0.25
Personal Care,South America,Fragrance,L'Oreal,Lipstick,175341,0.1,-0.0,0.15,-0.02,0.02,0.09999999999999999,0.2
Luxury,Europe,Makeup,MAC,Mascara,374060,0.12,0.07,0.2,0.05,0.09000000000000001,0.15000000000000002,0.25
Luxury,North America,Body,L'Oreal,Hair Spray,336718,0.27,0.13,0.11,0.11,0.15,0.06,0.16
Luxury,Africa,Body,L'Oreal,Conditioner,483816,0.21,0.18,0.06,0.16,0.19999999999999998,0.009999999999999995,0.11
Luxury,North America,Hair,Kaybeauty,Body Lotion,117364,0.41,-0.03,0.15,-0.05,-0.009999999999999998,0.09999999999999999,0.2
Luxury,Europe,Skincare,L'Oreal,Hair Spray,336406,0.5,0.01,0.29,-0.01,0.03,0.24,0.33999999999999997
Luxury,Africa,Fragrance,MAC,Body Lotion,352186,0.17,0.01,0.1,-0.01,0.03,0.05,0.15000000000000002
Luxury,Africa,Skincare,L'Oreal,Toner,358744,0.47,0.2,0.09,0.18000000000000002,0.22,0.039999999999999994,0.14
Personal Care,Europe,Body,L'Oreal,Mascara,424999,0.46,0.07,0.21,0.05,0.09000000000000001,0.15999999999999998,0.26
Beauty,North America,Hair,L'Oreal,Conditioner,291249,0.28,0.05,0.12,0.030000000000000002,0.07,0.06999999999999999,0.16999999999999998
Beauty,North America,Fragrance,MAC,Lipstick,338075,0.11,0.03,0.28,0.009999999999999998,0.05,0.23000000000000004,0.33
Luxury,Europe,Body,Kaybeauty,Perfume,202826,0.39,0.07,0.07,0.05,0.09000000000000001,0.020000000000000004,0.12000000000000001
Beauty,Asia,Skincare,MAC,Mascara,175991,0.45,0.08,0.28,0.06,0.1,0.23000000000000004,0.33
Luxury,South America,Fragrance,MAC,Mascara,436309,0.31,0.17,0.11,0.15000000000000002,0.19,0.06,0.16
Luxury,Europe,Hair,MAC,Hair Spray,207364,0.37,0.1,0.24,0.08,0.12000000000000001,0.19,0.29
Luxury,Africa,Fragrance,MAC,Body Lotion,118344,0.11,0.16,0.08,0.14,0.18,0.03,0.13
Luxury,Africa,Body,L'Oreal,Toner,125713,0.21,0.1,0.3,0.08,0.12000000000000001,0.25,0.35
Beauty,South America,Makeup,MAC,Foundation,182079,0.14,0.14,0.19,0.12000000000000001,0.16,0.14,0.24
Personal Care,Asia,Makeup,Kaybeauty,Conditioner,448300,0.42,-0.01,0.24,-0.03,0.01,0.19,0.29
Luxury,North America,Makeup,L'Oreal,Mascara,123609,0.29,-0.04,0.07,-0.06,-0.02,0.020000000000000004,0.12000000000000001
Personal Care,South America,Skincare,Kaybeauty,Foundation,202499,0.4,-0.04,0.06,-0.06,-0.02,0.009999999999999995,0.11
Personal Care,Europe,Fragrance,L'Oreal,Toner,487785,0.16,0.07,0.29,0.05,0.09000000000000001,0.24,0.33999999999999997
Luxury,Africa,Hair,Kaybeauty,Toner,388076,0.22,0.16,0.24,0.14,0.18,0.19,0.29
Personal Care,Europe,Fragrance,Kaybeauty,Mascara,487629,0.16,0.06,0.29,0.039999999999999994,0.08,0.24,0.33999999999999997
Beauty,Europe,Makeup,L'Oreal,Foundation,244488,0.28,0.03,0.13,0.009999999999999998,0.05,0.08,0.18
Personal Care,South America,Skincare,Kaybeauty,Mascara,288360,0.39,0.09,0.17,0.06999999999999999,0.11,0.12000000000000001,0.22000000000000003
Luxury,Asia,Hair,MAC,Conditioner,451927,0.41,0.16,0.24,0.14,0.18,0.19,0.29
Luxury,Africa,Makeup,MAC,Bronzer,357003,0.49,-0.0,0.17,-0.02,0.02,0.12000000000000001,0.22000000000000003
Personal Care,North America,Makeup,MAC,Perfume,377599,0.3,-0.03,0.2,-0.05,-0.009999999999999998,0.15000000000000002,0.25
Beauty,South America,Fragrance,MAC,Mascara,152471,0.29,0.12,0.15,0.09999999999999999,0.13999999999999999,0.09999999999999999,0.2
Luxury,Europe,Skincare,MAC,Mascara,101195,0.41,-0.04,0.17,-0.06,-0.02,0.12000000000000001,0.22000000000000003
Beauty,North America,Makeup,MAC,Perfume,146347,0.38,0.09,0.05,0.06999999999999999,0.11,0.0,0.1
Beauty,South America,Hair,MAC,Hair Spray,226076,0.13,0.16,0.14,0.14,0.18,0.09000000000000001,0.19
Luxury,South America,Body,L'Oreal,Body Lotion,262977,0.43,-0.04,0.22,-0.06,-0.02,0.16999999999999998,0.27
Luxury,Africa,Fragrance,Kaybeauty,Perfume,265048,0.47,-0.04,0.19,-0.06,-0.02,0.14,0.24
Personal Care,Asia,Body,L'Oreal,Shampoo,456845,0.34,0.07,0.22,0.05,0.09000000000000001,0.16999999999999998,0.27
Personal Care,South America,Body,Kaybeauty,Foundation,499662,0.31,0.13,0.07,0.11,0.15,0.020000000000000004,0.12000000000000001
Personal Care,Asia,Makeup,MAC,Hair Spray,391292,0.35,0.03,0.17,0.009999999999999998,0.05,0.12000000000000001,0.22000000000000003
Beauty,Africa,Skincare,Kaybeauty,Foundation,270971,0.32,0.13,0.11,0.11,0.15,0.06,0.16
Beauty,Europe,Fragrance,L'Oreal,Foundation,275314,0.19,0.05,0.1,0.030000000000000002,0.07,0.05,0.15000000000000002
Luxury,Asia,Hair,L'Oreal,Conditioner,109321,0.4,0.06,0.14,0.039999999999999994,0.08,0.09000000000000001,0.19
Personal Care,Asia,Makeup,L'Oreal,Mascara,392962,0.33,0.06,0.23,0.039999999999999994,0.08,0.18,0.28
Personal Care,South America,Makeup,L'Oreal,Toner,455417,0.5,0.02,0.14,0.0,0.04,0.09000000000000001,0.19
Luxury,Africa,Body,MAC,Mascara,470706,0.41,0.05,0.2,0.030000000000000002,0.07,0.15000000000000002,0.25
Personal Care,Asia,Body,Kaybeauty,Conditioner,114324,0.13,0.06,0.07,0.039999999999999994,0.08,0.020000000000000004,0.12000000000000001
Beauty,North America,Makeup,L'Oreal,Toner,358037,0.36,0.03,0.15,0.009999999999999998,0.05,0.09999999999999999,0.2
Luxury,Africa,Skincare,Kaybeauty,Mascara,202999,0.34,0.05,0.11,0.030000000000000002,0.07,0.06,0.16
Luxury,Europe,Body,Kaybeauty,Perfume,394333,0.23,0.06,0.22,0.039999999999999994,0.08,0.16999999999999998,0.27
Beauty,North America,Skincare,Kaybeauty,Mascara,421000,0.17,-0.01,0.06,-0.03,0.01,0.009999999999999995,0.11
Beauty,Africa,Makeup,MAC,Mascara,282944,0.38,0.06,0.27,0.039999999999999994,0.08,0.22000000000000003,0.32
Personal Care,Asia,Fragrance,MAC,Shampoo,463553,0.49,-0.02,0.11,-0.04,0.0,0.06,0.16
Personal Care,Africa,Hair,Kaybeauty,Foundation,267285,0.17,-0.03,0.08,-0.05,-0.009999999999999998,0.03,0.13
Luxury,Asia,Body,MAC,Lipstick,182311,0.37,-0.05,0.13,-0.07,-0.030000000000000002,0.08,0.18
Beauty,North America,Fragrance,L'Oreal,Toner,129141,0.16,-0.04,0.13,-0.06,-0.02,0.08,0.18
Personal Care,South America,Makeup,Kaybeauty,Bronzer,322369,0.18,0.13,0.09,0.11,0.15,0.039999999999999994,0.14
Personal Care,Africa,Body,MAC,Toner,196649,0.25,-0.05,0.11,-0.07,-0.030000000000000002,0.06,0.16
Personal Care,North America,Makeup,Kaybeauty,Bronzer,480424,0.38,0.12,0.1,0.09999999999999999,0.13999999999999999,0.05,0.15000000000000002
Personal Care,Africa,Skincare,MAC,Body Lotion,320269,0.36,0.2,0.06,0.18000000000000002,0.22,0.009999999999999995,0.11
Beauty,North America,Hair,MAC,Hair Spray,168516,0.33,0.13,0.27,0.11,0.15,0.22000000000000003,0.32
Beauty,Asia,Fragrance,L'Oreal,Lipstick,385441,0.45,0.03,0.27,0.009999999999999998,0.05,0.22000000000000003,0.32
Beauty,North America,Skincare,Kaybeauty,Mascara,77723,0.34,0.09,0.15,0.06999999999999999,0.11,0.09999999999999999,0.2
Beauty,North America,Hair,MAC,Mascara,408690,0.19,-0.03,0.2,-0.05,-0.009999999999999998,0.15000000000000002,0.25
Personal Care,South America,Body,L'Oreal,Hair Spray,157522,0.32,0.19,0.26,0.17,0.21,0.21000000000000002,0.31
Beauty,Africa,Body,MAC,Conditioner,131889,0.31,0.01,0.17,-0.01,0.03,0.12000000000000001,0.22000000000000003
Luxury,South America,Makeup,Kaybeauty,Conditioner,476390,0.27,0.17,0.07,0.15000000000000002,0.19,0.020000000000000004,0.12000000000000001
Luxury,North America,Makeup,Kaybeauty,Foundation,422494,0.18,0.07,0.1,0.05,0.09000000000000001,0.05,0.15000000000000002
Personal Care,Africa,Makeup,MAC,Shampoo,273725,0.22,0.15,0.18,0.13,0.16999999999999998,0.13,0.22999999999999998
Personal Care,Asia,Body,L'Oreal,Mascara,224668,0.27,-0.02,0.1,-0.04,0.0,0.05,0.15000000000000002
Luxury,Asia,Body,Kaybeauty,Toner,330887,0.42,-0.0,0.28,-0.02,0.02,0.23000000000000004,0.33
Personal Care,North America,Makeup,MAC,Body Lotion,138204,0.34,0.15,0.27,0.13,0.16999999999999998,0.22000000000000003,0.32
Beauty,South America,Hair,Kaybeauty,Body Lotion,440103,0.26,0.16,0.28,0.14,0.18,0.23000000000000004,0.33
Beauty,South America,Fragrance,MAC,Shampoo,160641,0.39,0.16,0.22,0.14,0.18,0.16999999999999998,0.27
Beauty,South America,Fragrance,L'Oreal,Mascara,310337,0.16,0.01,0.27,-0.01,0.03,0.22000000000000003,0.32
Beauty,Africa,Hair,L'Oreal,Conditioner,66014,0.19,0.0,0.21,-0.02,0.02,0.15999999999999998,0.26
Beauty,Africa,Skincare,MAC,Hair Spray,67727,0.15,0.12,0.15,0.09999999999999999,0.13999999999999999,0.09999999999999999,0.2
